Country,Total_Waves,Total_Infected_In_Epidemic_State,Total_Epidemic_Days
Argentina,8,10092461,1088
Italy,9,25296828,1063
Luxembourg,15,319124,1058
France,10,40437308,1047
Serbia,9,2472453,1032
United States,10,101828916,1027
Germany,12,38876250,1010
Austria,11,5978903,1007
Israel,9,4749457,1005
Bolivia,6,1187958,1003
United Kingdom,11,24509010,998
Switzerland,11,4367893,991
Armenia,6,445028,981
Belgium,12,4596631,980
Chile,10,4980308,963
Moldova,9,596201,955
Denmark,10,3409780,940
Sweden,9,2495238,935
Brazil,9,33787615,931
Slovenia,11,1330969,916
Russian Federation,7,21086270,916
Belize,8,70674,901
Panama,7,926349,898
Colombia,7,6216455,893
Cyprus,13,666084,886
Georgia,9,1829493,885
Bosnia and Herzegovina,7,388909,880
Qatar,8,461087,878
Romania,6,3187407,873
Spain,9,13134195,858
Slovak Republic,7,2648094,855
Mexico,6,6669903,849
Albania,7,328599,849
Bahrain,10,684883,847
Cabo Verde,8,61472,845
Maldives,12,181905,841
Ireland,11,1631485,839
Lithuania,7,1286995,837
Azerbaijan,7,817421,837
Ukraine,7,5577684,831
Malaysia,6,4746460,829
Lebanon,9,1214084,825
Suriname,8,81544,820
Canada,7,3941465,816
Montenegro,12,266721,814
Greece,11,5527251,812
Estonia,8,604428,808
Japan,7,32322436,807
Dominican Republic,6,589428,788
Netherlands,10,8286936,787
Oman,6,391105,785
Croatia,7,1175098,782
North Macedonia,7,332438,780
Norway,8,1446423,767
Kosovo,7,269783,767
Latvia,6,950969,761
Guatemala,6,1070912,761
Paraguay,9,756079,748
Bulgaria,6,1239554,738
Costa Rica,7,980558,738
Iraq,5,2289685,735
Peru,7,3889716,725
Jordan,6,1721903,724
Portugal,7,5317679,718
Barbados,10,106103,716
Belarus,5,857623,700
Eswatini,6,71863,695
Uruguay,6,998972,678
Namibia,6,158977,678
Kuwait,6,516363,675
Jamaica,5,140183,674
Iceland,8,206436,673
South Africa,5,3550540,672
United Arab Emirates,6,805672,670
Hungary,5,1980680,668
"Iran, Islamic Rep.",5,6535733,662
Malta,9,107296,659
Morocco,4,1211609,652
West Bank and Gaza,9,673949,644
Guyana,8,59786,644
Finland,10,1300474,639
Botswana,12,308496,639
Poland,5,5904295,632
Singapore,6,2207222,624
"Bahamas, The",6,34425,620
Trinidad and Tobago,6,165082,612
Mongolia,8,871050,611
Tunisia,6,1029515,608
Kyrgyz Republic,5,193815,599
Kazakhstan,5,1349215,597
India,3,39683177,584
Brunei Darussalam,8,278684,573
Australia,6,11244673,555
Libya,6,437880,537
Honduras,6,260468,534
Mauritius,10,285108,508
"Korea, Rep.",4,30298649,498
Nepal,3,791472,459
Thailand,3,4503063,450
Zambia,3,299098,448
Ecuador,6,597732,439
Djibouti,5,14218,436
Philippines,3,2840011,406
Sao Tome and Principe,6,5195,406
Gabon,4,31673,401
Fiji,3,66600,399
Cuba,4,992499,395
Lao PDR,3,208684,376
Taiwan,4,10017250,373
Mauritania,3,44464,342
Grenada,5,18747,341
El Salvador,4,94188,339
Saudi Arabia,3,548891,338
New Zealand,3,1927720,333
Indonesia,2,4286686,332
Timor-Leste,3,21689,314
Zimbabwe,3,209760,295
Bangladesh,2,1149514,274
Tonga,4,16258,272
Mozambique,2,154438,270
Malawi,2,51721,262
Equatorial Guinea,4,10533,257
Samoa,3,16287,248
Lesotho,3,26248,222
Bhutan,2,58168,207
Kiribati,5,4901,207
Sri Lanka,2,449714,204
Myanmar,2,333984,197
Rwanda,2,88523,186
Solomon Islands,4,20604,170
Afghanistan,1,97354,169
Comoros,2,6305,148
Algeria,1,59359,148
Senegal,1,32842,147
Papua New Guinea,1,18352,128
Vanuatu,2,11471,122
"Venezuela, RB",1,76907,119
"Gambia, The",1,3716,116
Cambodia,1,25850,101
Kenya,1,67550,89
Cameroon,1,34604,77
Angola,1,33267,70
Burundi,1,17089,60
Togo,1,10230,60
Central African Republic,1,4148,40
